CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000678825;0000028077;SUBREGION;Р’РµСЂРµС‰Р°РіРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000679197;0000678825;CITY;Р’РµСЂРµС‰Р°РіРёРЅРѕ;;;20634;152334;;;617120,617123
0000679581;0000028077;SUBREGION;Р‘РѕР»СЊС€РµСЃРѕСЃРЅРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000679967;0000028077;SUBREGION;Р�Р»СЊРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000680062;0000679967;CITY;Р§РµСЂРјРѕР·;;;20909;617040;;;
0000680619;0000028077;SUBREGION;Р•Р»РѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000680832;0000028077;SUBREGION;Р“РѕСЂРЅРѕР·Р°РІРѕРґСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000680894;0000680832;CITY;Р“РѕСЂРЅРѕР·Р°РІРѕРґСЃРє;;;20628;618820;;;
0000681255;0000028077;SUBREGION;РљР°СЂР°РіР°Р№СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000682100;0000028077;SUBREGION;РљРёС€РµСЂС‚СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000682360;0000028077;SUBREGION;РљСѓРµРґРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000683039;0000028077;SUBREGION;РљСѓРЅРіСѓСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000683948;0000028077;SUBREGION;РљСЂР°СЃРЅРѕРІРёС€РµСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000684155;0000683948;CITY;РљСЂР°СЃРЅРѕРІРёС€РµСЂСЃРє;;;20249;618590;;;618591,618592,618590,618593
0000684247;0000028077;SUBREGION;РќС‹С‚РІРµРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;617000;;;
0000684819;0000684247;CITY;РќС‹С‚РІР°;;;20251;617000;;;
0000685059;0000028077;SUBREGION;РћРєС‚СЏР±СЂСЊСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000685616;0000028077;SUBREGION;РћСЃРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000685619;0000685616;CITY;РћСЃР°;;;20246;612621;;;618124,618122,618120
0000686145;0000028077;SUBREGION;РћСЂРґРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000686491;0000028077;SUBREGION;РћС…Р°РЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000686658;0000686491;CITY;РћС…Р°РЅСЃРє;;;20607;618100;;;
